"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags","Notes"
"backbone_Plate1_Specimen_001_A5_A05_005_target_CD4","Infinity Flow analysis of the murine lung at steady state -Well P1_A05",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_A6_A06_006_target_CD5","Infinity Flow analysis of the murine lung at steady state -Well P1_A06",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_A7_A07_007_target_CD6","Infinity Flow analysis of the murine lung at steady state -Well P1_A07",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_A8_A08_008_target_CD8a","Infinity Flow analysis of the murine lung at steady state -Well P1_A08",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_A9_A09_009_target_CD9","Infinity Flow analysis of the murine lung at steady state -Well P1_A09",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_A10_A10_010_target_CD11a","Infinity Flow analysis of the murine lung at steady state -Well P1_A10",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_A11_A11_011_target_CD11b","Infinity Flow analysis of the murine lung at steady state -Well P1_A11",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_A12_A12_012_target_CD11c","Infinity Flow analysis of the murine lung at steady state -Well P1_A12",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_B1_B01_013_target_CD14","Infinity Flow analysis of the murine lung at steady state -Well P1_B01",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_B2_B02_014_target_CD16-32","Infinity Flow analysis of the murine lung at steady state -Well P1_B02",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_B3_B03_015_target_CD18","Infinity Flow analysis of the murine lung at steady state -Well P1_B03",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_B4_B04_016_target_CD19","Infinity Flow analysis of the murine lung at steady state -Well P1_B04",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_B5_B05_017_target_CD21-35","Infinity Flow analysis of the murine lung at steady state -Well P1_B05",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_B6_B06_018_target_CD22","Infinity Flow analysis of the murine lung at steady state -Well P1_B06",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_B7_B07_019_target_CD23","Infinity Flow analysis of the murine lung at steady state -Well P1_B07",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_B8_B08_020_target_CD24","Infinity Flow analysis of the murine lung at steady state -Well P1_B08",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_B9_B09_021_target_CD25","Infinity Flow analysis of the murine lung at steady state -Well P1_B09",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_B10_B10_022_target_CD26","Infinity Flow analysis of the murine lung at steady state -Well P1_B10",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_B11_B11_023_target_CD27","Infinity Flow analysis of the murine lung at steady state -Well P1_B11",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_B12_B12_024_target_CD28","Infinity Flow analysis of the murine lung at steady state -Well P1_B12",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_C1_C01_025_target_CD29","Infinity Flow analysis of the murine lung at steady state -Well P1_C01",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_C2_C02_026_target_CD30","Infinity Flow analysis of the murine lung at steady state -Well P1_C02",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_C3_C03_027_target_CD31","Infinity Flow analysis of the murine lung at steady state -Well P1_C03",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_C4_C04_028_target_CD34","Infinity Flow analysis of the murine lung at steady state -Well P1_C04",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_C5_C05_029_target_CD36","Infinity Flow analysis of the murine lung at steady state -Well P1_C05",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_C6_C06_030_target_CD38","Infinity Flow analysis of the murine lung at steady state -Well P1_C06",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_C7_C07_031_target_CD39","Infinity Flow analysis of the murine lung at steady state -Well P1_C07",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_C8_C08_032_target_CD40","Infinity Flow analysis of the murine lung at steady state -Well P1_C08",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_C9_C09_033_target_CD41","Infinity Flow analysis of the murine lung at steady state -Well P1_C09",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_C10_C10_034_target_CD43","Infinity Flow analysis of the murine lung at steady state -Well P1_C10",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_C11_C11_035_target_CD43-activation associated glycoform","Infinity Flow analysis of the murine lung at steady state -Well P1_C11",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_C12_C12_036_target_CD44","Infinity Flow analysis of the murine lung at steady state -Well P1_C12",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_D1_D01_037_target_CD45","Infinity Flow analysis of the murine lung at steady state -Well P1_D01",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_D2_D02_038_target_CD45R-B220","Infinity Flow analysis of the murine lung at steady state -Well P1_D02",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_D3_D03_039_target_CD45RB","Infinity Flow analysis of the murine lung at steady state -Well P1_D03",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_D4_D04_040_target_CD47","Infinity Flow analysis of the murine lung at steady state -Well P1_D04",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_D5_D05_041_target_CD48","Infinity Flow analysis of the murine lung at steady state -Well P1_D05",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_D6_D06_042_target_CD49a","Infinity Flow analysis of the murine lung at steady state -Well P1_D06",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_D7_D07_043_target_CD49b","Infinity Flow analysis of the murine lung at steady state -Well P1_D07",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_D8_D08_044_target_CD49b(pan-NK)","Infinity Flow analysis of the murine lung at steady state -Well P1_D08",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_D9_D09_045_target_CD49d","Infinity Flow analysis of the murine lung at steady state -Well P1_D09",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_D10_D10_046_target_CD49e","Infinity Flow analysis of the murine lung at steady state -Well P1_D10",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_D11_D11_047_target_CD49f","Infinity Flow analysis of the murine lung at steady state -Well P1_D11",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_D12_D12_048_target_CD51","Infinity Flow analysis of the murine lung at steady state -Well P1_D12",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_E1_E01_049_target_CD54","Infinity Flow analysis of the murine lung at steady state -Well P1_E01",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_E2_E02_050_target_CD55","Infinity Flow analysis of the murine lung at steady state -Well P1_E02",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_E3_E03_051_target_CD59a","Infinity Flow analysis of the murine lung at steady state -Well P1_E03",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_E4_E04_052_target_CD61","Infinity Flow analysis of the murine lung at steady state -Well P1_E04",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_E5_E05_053_target_CD62L","Infinity Flow analysis of the murine lung at steady state -Well P1_E05",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_E6_E06_054_target_CD63","Infinity Flow analysis of the murine lung at steady state -Well P1_E06",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
